Title,Model,Code Type,LOC,Errors,options remain unchanged,trailing-whitespace,undefined-variable,redefined-builtin,wildcard-import,return-outside-function,bad-continuation,used-before-assignment,too-many-locals,missing-docstring,too-few-public-methods,invalid-name,pointless-statement,blacklisted-name,trailing-comma-tuple,parse-error,unused-import,bare-except,anomalous-backslash-in-string,unused-argument,trailing-newlines,no-self-use,import-error,redefined-outer-name,relative-beyond-top-level,line-too-long,syntax-error,too-many-arguments,bad-whitespace,Other Errors
ustvgo-tvguide,https://raw.githubusercontent.com/interlark/ustvgo-tvguide/master/ustvgo_iptv.py,python,45,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whatsapp-cidr,https://raw.githubusercontent.com/HybridNetworks/whatsapp-cidr/main/main.py,python,276,"{'bad-whitespace': 1, 'line-too-long': 10, 'trailing-whitespace': 2, ""'. String constant might be missing an r prefix. (anomalous-backslash-in-string"": 1, 'anomalous-backslash-in-string': 1, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,1
chrome_installer,https://raw.githubusercontent.com/Bush2021/chrome_installer/main/download.py,python,62,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github-stats,https://raw.githubusercontent.com/spianmo/github-stats/master/generate_images.py,python,137,"{'missing-final-newline': 132, '': 8, 'bad-whitespace': 20, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, 'await s.languages': 1, '""size""': 1, 'bad-continuation': 20, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, '"",""': 2, 'missing-docstring': 1}",0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153
getgrass,https://raw.githubusercontent.com/Zlkcyber/getgrass/main/getproxy.py,python,33,"{'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cdc-data-mirror,https://raw.githubusercontent.com/peter279k/cdc-data-mirror/master/pcloud_uploader.py,python,23,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cv-arxiv-daily,https://raw.githubusercontent.com/Xuchen-Li/cv-arxiv-daily/master/daily_arxiv.py,python,397,"{'fixme': 7, 'config_file:str': 1, 'bad-whitespace': 94, 'filters:list': 1, 'trailing-whitespace': 43, '': 8, ""config_file,'r'"": 1, 'f,Loader=yaml.FullLoader': 1, 'authors, first_author = False': 1, 'qword:str': 1, '""\\n"","" ""': 2, 'result.authors': 1, 'result.authors,first_author = True': 3, 'bad-continuation': 6, 'line-too-long': 4, 'filename,""r""': 3, 'update_time,paper_title,paper_first_author,paper_url,code_url': 4, ""'|null|',f'|**[link]({repo_url}"": 1, 'filename,""w""': 2, 'json_data,f': 2, 'filename,data_dict': 1, 's:str': 1, ""'-','.'"": 1, 'md_filename,""w+""': 1, 'md_filename,""a+""': 1, ""' ','-'"": 3, ""'.',''"": 2, 'json_file,data_collector': 2, ""json_file,md_file, task ='Update Readme'"": 2, 'missing-docstring': 1}",0,43,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,94,53
NRD,https://raw.githubusercontent.com/dontcrash/NRD/main/update.py,python,49,"{'missing-final-newline': 48, 'domain': 1, 'bad-whitespace': 11, 'components': 1, ""'.'"": 1, '': 2, 'directory': 1, '""||""': 1, ""filename, 'w'"": 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56
gsy-framework,https://raw.githubusercontent.com/gridsingularity/gsy-framework/master/setup.py,python,32,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tor-Hidden-Services,https://raw.githubusercontent.com/The-Hidden-Wiki-URLs/Tor-Hidden-Services/main/Tor-Hidden-Services.py,python,70,{'syntax-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
grheat,https://raw.githubusercontent.com/scottprahl/grheat/main/setup.py,python,38,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pokemon-scare,https://raw.githubusercontent.com/isyuricunha/pokemon-scare/main/generate.py,python,14,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2ex-hot-hub,https://raw.githubusercontent.com/SnailDev/v2ex-hot-hub/main/v2ex.py,python,50,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PKScreener,https://raw.githubusercontent.com/pkjmesra/PKScreener/main/setup.py,python,132,{'line-too-long': 2},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
amdefiguy,https://raw.githubusercontent.com/amdefiguy/amdefiguy/main/amdefiguy.py,python,10,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeetCodePython,https://raw.githubusercontent.com/wtain/LeetCodePython/master/Main.py,python,42,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algo-trading-schwab,https://raw.githubusercontent.com/jononon/algo-trading-schwab/master/dynamodb.py,python,45,"{'bad-continuation': 1, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dayforce-client,https://raw.githubusercontent.com/goodeggs/dayforce-client/master/setup.py,python,49,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toshiki-github-stats,https://raw.githubusercontent.com/andatoshiki/toshiki-github-stats/master/generate_images.py,python,137,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community-bundles,https://raw.githubusercontent.com/indrastorms/community-bundles/main/gen_bundle.py,python,59,"{'repo_url, prerelease = False': 1, 'bad-whitespace': 1, ""'prerelease', False"": 2, 'bad-continuation': 2, 'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
webScrap,https://raw.githubusercontent.com/cmpaulo/webScrap/main/scrap_olx_bike_v1.py,python,238,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crypto-Price-Prediction-System,https://raw.githubusercontent.com/VAIBHAVPATEL97/Crypto-Price-Prediction-System/master/data-fetcher.py,python,65,"{'bad-whitespace': 7, 'line-too-long': 1, ""'Time',inplace=True"": 1, 'float': 3, ""path + pair + '.json' , orient='split'"": 1, 'trailing-whitespace': 4, 'missing-docstring': 1, 'import-error': 1}",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,5
cloud_sizes,https://raw.githubusercontent.com/seligman/cloud_sizes/master/get_all.py,python,214,"{'bad-whitespace': 1, 'line-too-long': 6, 'trailing-whitespace': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
nan-u,https://raw.githubusercontent.com/Intina47/nan-u/main/app.py,python,55,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmashTwitterBot,https://raw.githubusercontent.com/joaorb64/SmashTwitterBot/master/drawResults.py,python,399,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crcproject,https://raw.githubusercontent.com/hsnucrc46/crcproject/main/main.py,python,17,"{'missing-docstring': 1, 'redefined-builtin': 1}",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domains,https://raw.githubusercontent.com/voken1000g/domains/master/main.py,python,176,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpeechTranscription,https://raw.githubusercontent.com/oss-slu/SpeechTranscription/main/diarizationAndTranscription.py,python,93,"{'bad-indentation': 3, 'int': 1, 'bad-whitespace': 2, 'trailing-whitespace': 7, 'line-too-long': 2, 'anomalous-backslash-in-string': 1, 'missing-docstring': 1}",0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,4
ISHate,https://raw.githubusercontent.com/benjaminocampo/ISHate/main/setup.py,python,10,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biniou,https://raw.githubusercontent.com/Woolverine94/biniou/main/__init__.py,python,1,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
playlist-generator,https://raw.githubusercontent.com/YoCodeCrafters/playlist-generator/main/main.py,python,5,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github-stats,https://raw.githubusercontent.com/marcreichel/github-stats/master/generate_images.py,python,137,"{'missing-final-newline': 132, '': 8, 'bad-whitespace': 20, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, 'await s.languages': 1, '""size""': 1, 'bad-continuation': 20, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, '"",""': 2, 'missing-docstring': 1}",0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153
ICONProject,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/basetransactions.py,python,71,"{'bad-indentation': 1, 'trailing-whitespace': 4, 'line-too-long': 1, 'bad-whitespace': 1, 'bad-continuation': 5, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
who-unfollow-you,https://raw.githubusercontent.com/KuangjuX/who-unfollow-you/main/unfollow.py,python,21,"{'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YouTube_to_m3u,https://raw.githubusercontent.com/Nuttypro69/YouTube_to_m3u/main/autoCRON.py,python,31,"{'missing-final-newline': 30, 'bad-whitespace': 5, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30
telegram-animals,https://raw.githubusercontent.com/Deer-Spangle/telegram-animals/main/main.py,python,24,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toffee-Channels-Link-Headers,https://raw.githubusercontent.com/byte-capsule/Toffee-Channels-Link-Headers/main/decrypt.py,python,23,"{'bad-whitespace': 1, 'trailing-whitespace': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FanCode-Hls-Fetcher,https://raw.githubusercontent.com/byte-capsule/FanCode-Hls-Fetcher/main/decrypt.py,python,22,"{'bad-whitespace': 1, 'trailing-whitespace': 1, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
github-stats,https://raw.githubusercontent.com/corgan2222/github-stats/master/generate_images.py,python,120,"{'missing-final-newline': 115, '': 4, 'bad-whitespace': 17, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, '(await s.languages': 1, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,129
github-stats,https://raw.githubusercontent.com/eri/github-stats/master/generate_images.py,python,137,"{'missing-final-newline': 132, '': 8, 'bad-whitespace': 20, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, 'await s.languages': 1, '""size""': 1, 'bad-continuation': 20, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, '"",""': 2, 'missing-docstring': 1}",0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153
debtors-scraper,https://raw.githubusercontent.com/franciscobmacedo/debtors-scraper/main/run.py,python,16,"{'missing-docstring': 1, 'import-error': 4}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
githubStats,https://raw.githubusercontent.com/MaDrCloudDev/githubStats/master/generate_images.py,python,137,"{'missing-final-newline': 132, '': 8, 'bad-whitespace': 20, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, 'await s.languages': 1, '""size""': 1, 'bad-continuation': 20, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, '"",""': 2, 'missing-docstring': 1}",0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153
validator_queue_monitoring,https://raw.githubusercontent.com/gonlad-x/validator_queue_monitoring/main/beacon_api.py,python,86,"{'line-too-long': 7, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
airpg,https://raw.githubusercontent.com/michaelgruenstaeudl/airpg/main/setup.py,python,39,"{'line-too-long': 4, '': 1, 'bad-whitespace': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1
sethlabadie,https://raw.githubusercontent.com/sethlabadie/sethlabadie/main/blog-posts.py,python,38,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get_v2,https://raw.githubusercontent.com/ronghuaxueleng/get_v2/main/get_clash.py,python,56,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scout.wine,https://raw.githubusercontent.com/bethanyjoy/scout.wine/main/parse.py,python,2396,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKAN,https://raw.githubusercontent.com/Indoxer/LKAN/main/kan.py,python,47,"{'missing-docstring': 1, 'import-error': 6}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
GenAIAssistant,https://raw.githubusercontent.com/Teccon1998/GenAIAssistant/master/Login.py,python,53,"{""'tlsCAFile'"": 1, 'bad-whitespace': 1, 'missing-docstring': 1, 'import-error': 3}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
vipy,https://raw.githubusercontent.com/visym/vipy/master/setup.py,python,79,"{'trailing-whitespace': 2, 'line-too-long': 3, 'bad-whitespace': 6, 'missing-docstring': 1}",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0
news-api,https://raw.githubusercontent.com/pranavpk404/news-api/main/main.py,python,57,"{'trailing-whitespace': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github-stats,https://raw.githubusercontent.com/Necione/github-stats/master/generate_images.py,python,137,"{'missing-final-newline': 132, '': 8, 'bad-whitespace': 20, '""generated""': 1, 's: Stats': 2, '""templates/overview.svg"", ""r""': 1, '""generated/overview.svg"", ""w""': 1, '""templates/languages.svg"", ""r""': 1, 'await s.languages': 1, '""size""': 1, 'bad-continuation': 20, 'lang, data': 1, 'sorted_languages': 1, '""generated/languages.svg"", ""w""': 1, '"",""': 2, 'missing-docstring': 1}",0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153
covid-19,https://raw.githubusercontent.com/bxff/covid-19/master/Scrap_wayback.py,python,138,"{'trailing-whitespace': 2, 'line-too-long': 4, 'missing-docstring': 1, 'import-error': 3, 'wildcard-import': 1}",0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0
forem-reports,https://raw.githubusercontent.com/szabgab/forem-reports/main/report.py,python,284,"{'url, headers = headers': 1, 'bad-whitespace': 16, 'line-too-long': 7, 'bad-indentation': 1, ""'--html',    help='Generate the HTML report', action='store_true'"": 1, ""'--stats',   help='Generate stats', action='store_true'"": 1, ""'--host',    help='The hostname of the Forem site', required=True"": 1, ""'--public',  help='No need for API_KEY', action='store_true'"": 1, 'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,16,6
google-dev-blog-rss,https://raw.githubusercontent.com/conoro/google-dev-blog-rss/main/bring_back_reader.py,python,86,"{'missing-final-newline': 86, '': 2, 'bad-whitespace': 8, '""displaytitle"", """"': 2, 'bad-continuation': 6, '""image"", """"': 2, '""summary"", """"': 2, '""url"", """"': 2, '""timestamp"", """"': 1, 'line-too-long': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,98
voting-data,https://raw.githubusercontent.com/transparentdemocracy/voting-data/main/setup.py,python,31,"{'mixed-indentation': 1, 'bad-continuation': 21, '': 1, 'line-too-long': 1, 'trailing-newlines': 1, 'missing-docstring': 1}",0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
mikeyhodl,https://raw.githubusercontent.com/mikeyhodl/mikeyhodl/main/mike.py,python,11,"{' time.localtime(time.time(': 2, 'bad-whitespace': 2, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
arcam_fmj,https://raw.githubusercontent.com/elupus/arcam_fmj/master/setup.py,python,47,"{'bad-whitespace': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
norway-finance-statistics,https://raw.githubusercontent.com/frefrik/norway-finance-statistics/master/graphs.py,python,244,"{'missing-docstring': 1, 'import-error': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SanderYaz,https://raw.githubusercontent.com/SanderYaz/SanderYaz/main/generate_images.py,python,119,"{'trailing-whitespace': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timer-sub,https://raw.githubusercontent.com/mikeyhodl/Timer-sub/main/timer.py,python,11,"{' time.localtime(time.time(': 2, 'bad-whitespace': 2, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
airbyte-api-python-sdk,https://raw.githubusercontent.com/airbytehq/airbyte-api-python-sdk/main/setup.py,python,56,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contextualized,https://raw.githubusercontent.com/cnellington/Contextualized/main/tests.py,python,11,"{'missing-docstring': 1, 'import-error': 6, 'wildcard-import': 6}",0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
pygeoprocessing,https://raw.githubusercontent.com/natcap/pygeoprocessing/main/setup.py,python,97,{'import-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hadith-every-hour,https://raw.githubusercontent.com/Ananto30/hadith-every-hour/main/main.py,python,49,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIX-Gateway,https://raw.githubusercontent.com/makerplane/FIX-Gateway/master/fixgw.py,python,22,"{'missing-docstring': 1, 'import-error': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
argopy-status,https://raw.githubusercontent.com/euroargodev/argopy-status/master/check_save_status.py,python,72,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ml-metrics,https://raw.githubusercontent.com/google/ml-metrics/main/setup.py,python,11,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elementary-tutorial,https://raw.githubusercontent.com/elementary-data/elementary-tutorial/main/setup.py,python,36,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
latest-releases,https://raw.githubusercontent.com/coreos/latest-releases/main/sync.py,python,73,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
